title,year,rating,votes,runtime,certificate,genre,gross_total,different_ratings,star_rating
C&apos;era una volta il West,1969,8.5,"382,606",145,PG-13,"Drama, Western",$5.44M,8.5PG-13,4 stars
City Lights,1931,8.5,"215,684",87,G,"Comedy, Drama, Romance",$0.06M,8.5G,4 stars
Apocalypse Now,1979,8.4,"766,922",147,R,"Drama, Mystery, War",$105.27M,8.4R,4 stars
WALL·E,2008,8.4,"1,311,927",98,G,"Animation, Adventure, Family",$527.40M,8.4G,4 stars
Memento,2001,8.4,"1,427,780",113,R,"Drama, Mystery, Thriller",$40.06M,8.4R,4 stars
Dune: Part Two,2024,8.4,"722,936",166,PG-13,"Action, Adventure, Drama",$714.84M,8.4PG-13,4 stars
Raiders of the Lost Ark,1981,8.4,"1,105,828",115,PG,"Action, Adventure",$389.93M,8.4PG,4 stars
Avengers: Infinity War,2018,8.4,"1,359,383",149,PG-13,"Action, Adventure, Sci-Fi",$2052.42M,8.4PG-13,4 stars
Das Leben der Anderen,2007,8.4,"441,636",137,R,"Drama, Mystery, Thriller",$77.67M,8.4R,4 stars
Spider-Man: Into the Spider-Verse,2018,8.4,"780,193",117,PG,"Animation, Action, Adventure",$394.88M,8.4PG,4 stars
