title,year,rating,votes,runtime,certificate,genre,gross_total,different_ratings,star_rating
L.A. Confidential,1997,8.2,"656,577",138,R,"Crime, Drama, Mystery",$126.22M,8.2R,4 stars
Der Untergang,2005,8.2,"398,908",156,R,"Biography, Drama, History",$92.18M,8.2R,4 stars
The Wolf of Wall Street,2013,8.2,"1,772,350",180,R,"Biography, Comedy, Crime",$407.04M,8.2R,4 stars
Dangal,2016,8.3,"240,747",161,Unrated,"Action, Biography, Drama",$303.73M,8.3Unrated,4 stars
The Truman Show,1998,8.2,"1,360,444",103,PG,"Comedy, Drama",$264.12M,8.2PG,4 stars
Ladri di biciclette,1949,8.2,"191,919",89,Unrated,Drama,$0.46M,8.2Unrated,4 stars
Oppenheimer,2023,8.2,"1,011,743",180,R,"Biography, Drama, History",$975.81M,8.2R,4 stars
Green Book,2018,8.2,"677,929",130,PG-13,"Biography, Comedy, Drama",$321.75M,8.2PG-13,4 stars
Shutter Island,2010,8.2,"1,631,737",138,R,"Drama, Mystery, Thriller",$294.98M,8.2R,4 stars
Judgment at Nuremberg,1961,8.3,"96,461",179,Unrated,"Drama, History, War",$0.01M,8.3Unrated,4 stars
Batman Begins,2005,8.2,"1,703,662",140,PG-13,"Action, Crime, Drama",$375.58M,8.2PG-13,4 stars
Hamilton,2020,8.3,"137,958",160,PG-13,"Biography, Drama, History",$20.94M,8.3PG-13,4 stars
Per qualche dollaro in più,1967,8.2,"298,846",132,R,"Drama, Western",$15.00M,8.2R,4 stars
Taxi Driver,1976,8.2,"1,020,084",114,R,"Crime, Drama",$28.98M,8.2R,4 stars
Jurassic Park,1993,8.2,"1,169,814",127,PG-13,"Action, Adventure, Sci-Fi",$1103.11M,8.2PG-13,4 stars
Some Like It Hot,1959,8.2,"303,664",121,Unrated,"Comedy, Music, Romance",$0.21M,8.2Unrated,4 stars
There Will Be Blood,2008,8.2,"703,624",158,R,Drama,$76.43M,8.2R,4 stars
The Kid,1921,8.2,"145,076",68,Unrated,"Comedy, Drama, Family",$0.05M,8.2Unrated,4 stars
The Father,2021,8.2,"242,331",97,PG-13,"Drama, Mystery",$24.05M,8.2PG-13,4 stars
All About Eve,1950,8.2,"148,633",138,Unrated,Drama,$0.16M,8.2Unrated,4 stars
The Sixth Sense,1999,8.2,"1,138,184",107,PG-13,"Drama, Mystery, Thriller",$672.81M,8.2PG-13,4 stars
Ran,1985,8.2,"150,999",160,R,"Action, Drama, War",$4.42M,8.2R,4 stars
Casino,1995,8.2,"615,465",178,R,"Crime, Drama",$116.11M,8.2R,4 stars
No Country for Old Men,2007,8.2,"1,179,896",122,R,"Crime, Drama, Thriller",$171.64M,8.2R,4 stars
The Thing,1982,8.2,"522,863",109,R,"Horror, Mystery, Sci-Fi",$20.87M,8.2R,4 stars
Top Gun: Maverick,2022,8.2,"849,682",130,PG-13,"Action, Drama",$1495.70M,8.2PG-13,4 stars
Prisoners,2013,8.2,"925,536",153,R,"Crime, Drama, Mystery",$122.13M,8.2R,4 stars
Kill Bill: Vol. 1,2003,8.2,"1,299,105",111,R,"Action, Crime, Thriller",$180.91M,8.2R,4 stars
El laberinto del fauno,2007,8.2,"744,307",118,R,"Drama, Fantasy, War",$83.86M,8.2R,4 stars
Unforgiven,1992,8.2,"466,753",130,R,"Drama, Western",$159.17M,8.2R,4 stars
A Beautiful Mind,2002,8.2,"1,049,366",135,PG-13,"Biography, Drama, Mystery",$316.79M,8.2PG-13,4 stars
The Treasure of the Sierra Madre,1948,8.2,"140,941",126,Unrated,"Adventure, Drama, Western",$5.01M,8.2Unrated,4 stars
Hauru no ugoku shiro,2005,8.2,"508,081",119,PG,"Animation, Adventure, Family",$243.39M,8.2PG,4 stars
Finding Nemo,2003,8.2,"1,200,849",100,G,"Animation, Adventure, Comedy",$941.64M,8.2G,4 stars
Klaus,2019,8.2,"234,496",96,PG,"Animation, Adventure, Comedy",$0.01M,8.2PG,4 stars
Yôjinbô,1961,8.2,"142,437",110,Unrated,"Action, Drama, Thriller",$0.07M,8.2Unrated,4 stars
The Great Escape,1963,8.2,"276,420",172,Unrated,"Adventure, Drama, Thriller",$0.23M,8.2Unrated,4 stars
The Elephant Man,1980,8.2,"281,198",124,PG,"Biography, Drama",$26.08M,8.2PG,4 stars
Monty Python and the Holy Grail,1975,8.2,"601,468",91,PG,"Adventure, Comedy, Fantasy",$2.94M,8.2PG,4 stars
Dial M for Murder,1954,8.1,"203,905",105,PG,"Crime, Drama, Mystery",$0.05M,8.1PG,4 stars
La meglio gioventù,2003,8.4,"27,811",374,R,"Drama, Romance",$2.80M,8.4R,4 stars
Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,2025,8.4,"66,370",155,R,"Animation, Action, Adventure",$740.85M,8.4R,4 stars
El secreto de sus ojos,2010,8.2,"240,984",129,R,"Drama, Mystery, Romance",$35.08M,8.2R,4 stars
Gone with the Wind,1940,8.2,"355,221",238,G,"Drama, Romance, War",$402.38M,8.2G,4 stars
Chinatown,1974,8.1,"375,550",130,R,"Drama, Mystery, Thriller",$29.23M,8.1R,4 stars
"Lock, Stock and Two Smoking Barrels",1998,8.1,"648,246",107,R,"Comedy, Crime",$3.75M,8.1R,4 stars
V for Vendetta,2006,8.1,"1,241,984",132,R,"Action, Drama, Sci-Fi",$134.69M,8.1R,4 stars
Catch Me If You Can,2002,8.1,"1,225,671",141,PG-13,"Biography, Crime, Drama",$352.11M,8.1PG-13,4 stars
Inside Out,2015,8.1,"907,637",95,PG,"Animation, Adventure, Comedy",$859.08M,8.1PG,4 stars
Rashômon,1951,8.1,"195,645",88,Unrated,"Crime, Drama, Mystery",$0.14M,8.1Unrated,4 stars
